País,Flag,Fintechs Activas,VC Funding 2025,Remesas Anuales,Riel RTP Dominante,Regulación / Estatus Crypto
México,🇲🇽,650+,$980M USD,$62.5B USD,SPEI / DiMo,Ley Fintech 2018/2026 / VASP
Brasil,🇧🇷,"1,200+",$2.03B USD,$1.2B USD,PIX Automático,Open Finance Fase 4 / Reg. BCB
Colombia,🇨🇴,410+,$92M USD,$2.1B USD,Bre-B / PSE,Decreto Open Banking 2022 / Sandbox
Argentina,🇦🇷,320+,Variable,$0.8B USD,Transferencias 3.0,BCRA Interoperable / Adopción USDT
Chile,🇨🇱,280+,$110M USD,$0.3B USD,TEF / CMF Instant,Ley Fintech N° 21.521 / Reg. CMF
Perú,🇵🇪,180+,Growing,$4.5B USD,Yape / Plin,Interoperabilidad BCRP / SBS
Ecuador,🇪🇨,90+,Emerging,$5.2B USD,BCE Pago Inmediato,Ley Fintech 2022 / Dolarización
Guatemala,🇬🇹,60+,Seed,$19.8B USD,ACH Pronto,Agenda SIB / Remesas Crypto
El Salvador,🇸🇻,45+,Seed,$8.3B USD,Bitcoin + Tradicional,Legal Tender Bitcoin / Chivo
Costa Rica,🇨🇷,70+,Seed+,$0.6B USD,SINPE Móvil,Regulación BCCR / Libre Circulación
Panamá,🇵🇦,85+,Seed+,$0.7B USD,Yappy / ACH Xpress,Hub Financiero Digital / Dólar
Rep. Dominicana,🇩🇴,110+,Series A,$11.9B USD,LBTR Inmediato,Estrategia EBRD
Honduras,🇭🇳,35+,Seed,$9.1B USD,ACH Banhprovi,CNBS Sandbox / Próspera ZEDE
Uruguay,🇺🇾,55+,Seed+,$0.15B USD,SPI / BCU Direct,Marco BCU 2024
Paraguay,🇵🇾,40+,Seed,$0.4B USD,SIPAP 24/7,SIPAP BCP / Minería Crypto
Bolivia,🇧🇴,30+,Seed,$1.4B USD,QR Simple ASFI,Normativa ASFI / BCB
Nicaragua,🇳🇮,25+,Seed,$4.2B USD,ACH UniRed,Normativa SIBOIF
Jamaica,🇯🇲,35+,Seed,$3.8B USD,JAM-DEX CBDC,BOJ CBDC Pioneer
Venezuela,🇻🇪,50+,Bootstrap,$0.1B USD,Pago Móvil P2P,Sudeban / Adopción Crypto P2P
Puerto Rico,🇵🇷,120+,US Capital,$1.1B USD,ATH Móvil,US Fedwire / Act 60 Fiscal
